stop_id,stop_code,stop_name,stop_lat,stop_lon,ars_id,stop_uid,stop_type,in_dongdaemun
06156,06156,청년회의소앞,37.5621103,127.0615307,06156,105000070,일반차로,1
06157,06157,고미술상가,37.5636092,127.0572974,06157,105000071,일반차로,1
06158,06158,답십리역.동부시장,37.5672563,127.0525194,06158,105000072,일반차로,1
06159,06159,신답역앞,37.5708431,127.0470914,06159,105000073,일반차로,1
06160,06160,동대문구청.용두역4번출구,37.573435,127.0397136,06160,105000074,일반차로,1
06161,06161,용두역5번출구,37.573977,127.037268,06161,105000075,가로변전일,1
06162,06162,용두동신동아아파트,37.5737704,127.0317925,06162,105000076,일반차로,1
06163,06163,동대문우체국.서울풍물시장,37.5747598,127.0245653,06163,105000077,일반차로,1
06164,06164,동대문구청.용두역3번출구,37.5755375,127.0383452,06164,105000078,일반차로,1
06165,06165,동대문구청.용두동주민센터,37.5765808,127.0384169,06165,105000079,일반차로,1
06166,06166,동대문구청.용두동주민센터,37.5753096,127.0379882,06166,105000080,일반차로,1
06167,06167,경동시장앞,37.5819989,127.0387559,06167,105000081,일반차로,1
06168,06168,제기동주민센터.서울약령시앞,37.5819251,127.0383947,06168,105000082,일반차로,1
06169,06169,경동시장,37.5799644,127.0382839,06169,105000083,일반차로,1
06170,06170,홍파초등학교.정화여중고,37.585531,127.038639,06170,105000084,일반차로,1
06171,06171,홍파초등학교.정화여중고,37.5855971,127.0383377,06171,105000085,일반차로,1
06172,06172,제기동한신아파트앞,37.587603,127.037888,06172,105000086,일반차로,1
06173,06173,고려대역.고대앞삼거리,37.5894338,127.0366856,06173,105000087,일반차로,1
06174,06174,고려대역.고대앞삼거리,37.5887479,127.0366498,06174,105000088,일반차로,1
06175,06175,고려대학교앞,37.5881363,127.0346802,06175,105000089,일반차로,1
06176,06176,우신향병원,37.5857223,127.0323863,06176,105000090,일반차로,1
06177,06177,안암오거리,37.5824614,127.029897,06177,105000091,일반차로,1
06178,06178,대광고등학교앞,37.5797777,127.0255621,06178,105000092,일반차로,1
06179,06179,종암초등학교앞,37.5816186,127.0295992,06179,105000093,일반차로,1
06180,06180,용두시장앞,37.5791116,127.0303342,06180,105000094,일반차로,1
06181,06181,용두시장앞,37.579035,127.030161,06181,105000095,일반차로,1
06182,06182,서울시동부병원,37.5758965,127.0304302,06182,105000096,일반차로,1
06183,06183,서울시동부병원,37.5761902,127.0306953,06183,105000097,일반차로,1
06184,06184,동아제약앞,37.5725994,127.0304425,06184,105000098,일반차로,1
06185,06185,동아제약앞,37.5727164,127.0307312,06185,105000099,일반차로,1
06186,06186,떡전교앞,37.584904,127.0526949,06186,105000100,일반차로,1
06187,06187,떡전교앞,37.5846184,127.0525769,06187,105000101,일반차로,1
06188,06188,서울시립대입구,37.5830057,127.0540557,06188,105000102,일반차로,1
06189,06189,서울시립대학교앞,37.5826805,127.0539399,06189,105000103,일반차로,1
06190,06190,서울시동부교육지원청.해성국제컨벤션고교,37.5791853,127.056865,06190,105000104,일반차로,1
06191,06191,전농로터리시장.동부교육지원청,37.578817,127.05676,06191,105000105,일반차로,1
06192,06192,전농우체국앞,37.576367,127.057575,06192,105000106,일반차로,1
06193,06193,전농우체국앞,37.5765202,127.0578903,06193,105000107,일반차로,1
06194,06194,청솔우성아파트.답십리시장,37.5737093,127.057648,06194,105000108,일반차로,1
06195,06195,미드카운티아파트.청솔우성아파트,37.5741113,127.057389,06195,105000109,일반차로,1
06196,06196,답십리2동시온교회앞,37.5705961,127.0573999,06196,105000110,일반차로,1
06197,06197,답십리1동희망샘교회앞,37.5705242,127.0571055,06197,105000111,일반차로,1
06198,06198,답십리초등학교.현대시장,37.5684539,127.0572013,06198,105000112,일반차로,1
06199,06199,답십리초등학교앞,37.5686266,127.0569309,06199,105000113,일반차로,1
06200,06200,답십리역사거리,37.565506,127.0552011,06200,105000114,일반차로,1
06201,06201,황물로사거리,37.5665419,127.055992,06201,105000115,일반차로,1
06202,06202,답십리1동주민센터.래미안위브,37.572367,127.0510037,06202,105000116,일반차로,1
06203,06203,답십리1동주민센터.래미안위브,37.5720994,127.0511403,06203,105000117,일반차로,1
06204,06204,동대문중학교,37.575013,127.0537544,06204,105000118,일반차로,1
06205,06205,동대문중학교,37.5741763,127.0532772,06205,105000119,일반차로,1
06206,06206,전농래미안크레시티아파트,37.5762802,127.0555921,06206,105000120,일반차로,1
06207,06207,대한노인회동대문구지회,37.5762112,127.0559031,06207,105000121,일반차로,1
06208,06208,전농사거리,37.5778148,127.0590376,06208,105000122,일반차로,1
06209,06209,전농사거리,37.5775634,127.0592406,06209,105000123,일반차로,1
06210,06210,배봉초등학교.전농우성아파트,37.5786953,127.0672948,06210,105000124,일반차로,1
06211,06211,배봉초등학교.전농우성아파트,37.5784402,127.0674157,06211,105000125,일반차로,1
06212,06212,장안2동주민센터,37.5788404,127.070404,06212,105000126,일반차로,1
06213,06213,장안2동주민센터,37.578696,127.0704638,06213,105000127,일반차로,1
06214,06214,장안교앞,37.5796534,127.0739714,06214,105000128,일반차로,1
06215,06215,장안교.은석초등학교,37.5796192,127.0746902,06215,105000129,일반차로,1
06216,06216,청량리역6번출구,37.578083,127.043803,06216,105000130,일반차로,1
06217,06217,청량리역6번출구,37.5779453,127.0437858,06217,105000131,일반차로,1
06218,06218,롯데캐슬노블레스,37.5755553,127.0484717,06218,105000132,일반차로,1
06219,06219,전농1파출소,37.5760847,127.0471184,06219,105000133,일반차로,1
06220,06220,래미안크레시티.답십리도서관,37.5745618,127.050244,06220,105000134,일반차로,1
06221,06221,동대문구답십리도서관앞,37.5738813,127.0510268,06221,105000135,일반차로,1
06222,06222,답십리래미안위브아파트,37.572769,127.0548282,06222,105000136,일반차로,1
06223,06223,답십리래미안미드카운티,37.57298,127.055558,06223,105000137,일반차로,1
06224,06224,답십리사거리,37.5727321,127.0567076,06224,105000138,일반차로,1
06225,06225,답십리2동두산아파트,37.5727537,127.0585128,06225,105000139,일반차로,1
06226,06226,답십리시장.청솔우성아파트후문,37.5729536,127.058758,06226,105000140,일반차로,1
06227,06227,답십리2동한양아파트앞,37.5726702,127.0614069,06227,105000141,일반차로,1
06228,06228,답십리2동한양아파트앞,37.5729574,127.0611223,06228,105000142,일반차로,1
06229,06229,동답한신.대림아파트.동대문체육관,37.572663,127.063768,06229,105000143,일반차로,1
06230,06230,촬영소사거리.동답초등학교,37.572642,127.065212,06230,105000144,일반차로,1
06231,06231,촬영소사거리.세양청마루아파트앞,37.5728898,127.0653559,06231,105000145,일반차로,1
06232,06232,동대문구.성동구선거관리위원회,37.5724872,127.0682025,06232,105000146,일반차로,1
06233,06233,동대문구.성동구선거관리위원회,37.5727735,127.0678745,06233,105000147,일반차로,1
06234,06234,장안사거리,37.5725845,127.0703387,06234,105000148,일반차로,1
06235,06235,국민은행장안동지점,37.5723759,127.0734973,06235,105000149,일반차로,1
06236,06236,국민은행장안동지점,37.5720534,127.0742101,06236,105000150,일반차로,1
06237,06237,장안동근린공원,37.5773238,127.0719536,06237,105000151,일반차로,1
06238,06238,장안동근린공원,37.5783141,127.072388,06238,105000152,일반차로,1
06239,06239,동대문더퍼스트데시앙아파트,37.5749921,127.0717763,06239,105000153,일반차로,1
06240,06240,NH농협장안평지점,37.575153,127.0721655,06240,105000154,일반차로,1
06241,06241,코리아병원,37.5732069,127.0716599,06241,105000155,일반차로,1
06242,06242,새서울병원,37.5731013,127.0720051,06242,105000156,일반차로,1
06243,06243,장안동삼성쉐르빌아파트,37.5713996,127.0713569,06243,105000157,일반차로,1
06244,06244,장안동삼성쉐르빌아파트,37.571238,127.070843,06244,105000158,일반차로,1
06245,06245,힐스테이트장안센트럴,37.569605,127.070183,06245,105000159,일반차로,1
06246,06246,현대벤처빌.현대썬앤빌,37.5689209,127.0694007,06246,105000160,일반차로,1
06247,06247,현대벤처빌,37.5682415,127.0692809,06247,105000161,일반차로,1
06248,06248,우리은행장안지점앞,37.566393,127.067727,06248,105000162,일반차로,1
06249,06249,우리은행장안지점앞,37.5655987,127.0676385,06249,105000163,일반차로,1
06250,06250,북한연구소앞,37.5634648,127.0661435,06250,105000164,일반차로,1
06251,06251,장한평역2번출구,37.5622965,127.0649278,06251,105000165,일반차로,1
06252,06252,장한평역3번출구,37.5624371,127.0654362,06252,105000166,일반차로,1
06253,06253,신이문역,37.6026166,127.0679016,06253,105000167,일반차로,1
06254,06254,이문동현대아파트앞,37.6010179,127.0706774,06254,105000168,일반차로,1
06255,06255,이문동현대아파트,37.600859,127.0709847,06255,105000169,일반차로,1
06256,06256,휘경2동주민센터,37.5907361,127.0680485,06256,105000170,일반차로,1
06257,06257,휘경2동주민센터,37.5905049,127.0680859,06257,105000171,일반차로,1
06258,06258,동부아동보호전문기관.동대부중고,37.5768335,127.0763834,06258,105000172,일반차로,1
06259,06259,장안삼성래미안2차아파트,37.5746816,127.0766223,06259,105000173,일반차로,1
06260,06260,장안삼성래미안2차아파트.성복교회,37.5728468,127.0768145,06260,105000174,일반차로,1
06261,06261,장안현대홈타운아파트앞,37.5697592,127.0733886,06261,105000175,일반차로,1
06262,06262,동대문구민체육센터,37.5663863,127.0739413,06262,105000176,일반차로,1
06263,06263,파라브아파트,37.5635828,127.072374,06263,105000177,일반차로,1
06264,06264,장안현대홈타운상가,37.5713084,127.0743786,06264,105000178,일반차로,1
06265,06265,장안현대홈타운앞,37.5692894,127.0756173,06265,105000179,일반차로,1
06266,06266,장안치안센터,37.5679459,127.0724996,06266,105000180,일반차로,1
06267,06267,장안치안센터,37.5682221,127.0727018,06267,105000181,일반차로,1
