busRouteId,rtNm,seq,stId,arsId,stationNm,stop_lon,stop_lat,direction,trnstnid
100100048,272,5,106000080,07174,면동초등학교,127.0884543619,37.5842573049,남가좌동,112000147
100100048,272,6,106000078,07172,면목본동주민센터.면목정보도서관,127.088244,37.586909,남가좌동,112000147
100100048,272,7,106000077,07171,지하철7호선면목역,127.0875225751,37.5891662321,남가좌동,112000147
100100048,272,8,106000074,07168,면목초등학교,127.0869725161,37.5913436688,남가좌동,112000147
100100048,272,9,106000072,07166,상봉역3번출구,127.0862158322,37.5942959108,남가좌동,112000147
100100048,272,10,106000003,07003,상봉역.중랑우체국,127.0837435605,37.5959590869,남가좌동,112000147
100100048,272,11,106000005,07005,중랑역.동부시장,127.0760312329,37.5940083437,남가좌동,112000147
100100048,272,12,105000009,06009,중랑교,127.0676664848,37.5917575509,남가좌동,112000147
100100048,272,13,105000011,06011,삼육서울병원.삼육보건대학교,127.0606858682,37.589691279,남가좌동,112000147
100100048,272,14,105000013,06013,시조사삼거리.회기역,127.056888,37.588707,남가좌동,112000147
100100048,272,15,105000014,06014,떡전교사거리.동대문노인복지관,127.0520133159,37.5864447699,남가좌동,112000147
100100048,272,16,105000478,06021,청량리미주아파트.동대문세무서,127.048395,37.58278,남가좌동,112000147
100100048,272,17,105000015,06015,청량리역환승센터,127.0454307288,37.5804025104,남가좌동,112000147
100100048,272,18,105000480,06022,청량리청과물도매시장,127.0406051232,37.5787911202,남가좌동,112000147
100100048,272,19,105000481,06024,제기동역.서울약령시,127.0353228624,37.5782168464,남가좌동,112000147
100100048,272,20,105000483,06026,용두동사거리.한국의류시험연구원,127.0282360085,37.5771723903,남가좌동,112000147
100100048,272,21,105000018,06101,신설동역3번출구,127.0255836506,37.576453593,남가좌동,112000147
100100048,272,22,105000552,06107,신설동역1번출구,127.0233166791,37.5766303332,남가좌동,112000147
100100048,272,23,107000094,08184,보문동주민센터,127.022377,37.580047,남가좌동,112000147
100100048,272,24,107000092,08182,보문동성당,127.0211155216,37.582398971,남가좌동,112000147
100100048,272,25,107000090,08180,보문역6번출구,127.019770675,37.5848759024,남가좌동,112000147
100100048,272,26,107000088,08178,성북구청.성북경찰서,127.0172299027,37.5886054063,남가좌동,112000147
100100048,272,27,107000086,08176,삼선동주민센터,127.0147153546,37.5906917676,남가좌동,112000147
100100048,272,28,107000009,08009,삼선교.한성대학교,127.0093351178,37.5899648397,남가좌동,112000147
100100048,272,29,100000005,01005,혜화동로터리.여운형활동터,127.001744,37.586243,남가좌동,112000147
100100048,272,30,100000003,01003,명륜3가.성대입구,126.998251,37.582581,남가좌동,112000147
100100048,272,31,100000002,01002,창경궁.서울대학교병원,126.996522,37.579433,남가좌동,112000147
100100048,272,32,100000076,01172,창덕궁.우리소리박물관,126.9885394479,37.5775405746,남가좌동,112000147
100100048,272,33,100000036,01131,안국역.서울공예박물관,126.9839957858,37.5760695565,남가좌동,112000147
100100048,272,34,100000035,01130,덕성여중고,126.981972,37.575768,남가좌동,112000147
100100048,272,35,100000019,01114,서울경찰청.경복궁역1번출구,126.9714158133,37.5761614873,남가좌동,112000147
100100048,272,36,100000018,01113,사직단.사직근린공원,126.9679907155,37.5751355316,남가좌동,112000147
100100048,272,37,112000038,13121,이대부고,126.9464759832,37.5663177634,남가좌동,112000147
100100048,272,38,112000036,13119,이대부중,126.9441630049,37.5636440514,남가좌동,112000147
100100048,272,39,112000015,13015,세브란스병원앞,126.9389236898,37.5601326008,남가좌동,112000147
100100048,272,40,112000013,13013,연세대앞,126.9354996016,37.5601569117,남가좌동,112000147
100100048,272,41,112000011,13011,서대문우체국,126.9314621185,37.5625326219,남가좌동,112000147
100100048,272,42,112000009,13009,연희104고지앞.궁동근린공원,126.9257860764,37.5663570321,남가좌동,112000147
100100048,272,43,112000026,13109,사천교,126.918313,37.567753,남가좌동,112000147
100100048,272,44,112000178,13261,서대문종합사회복지관,126.9201437133,37.5709633371,남가좌동,112000147
100100048,272,45,112000121,13204,연가교,126.922182071,37.5725614324,남가좌동,112000147
100100048,272,46,112000126,13209,남가좌현대아파트,126.9218592217,37.5749175727,남가좌동,112000147
100100048,272,47,112000108,13191,명지대사거리,126.920981,37.577378,남가좌동,112000147
100100048,272,48,112000147,13230,명지대사거리.백련시장,126.9225808324,37.5774257307,남가좌동,112000147
100100048,272,49,112000145,13228,백련시장,126.9249301317,37.5766469566,면목동,112000147
100100048,272,50,112000179,13262,홍남교.백련시장입구,126.9251839684,37.5752855695,면목동,112000147
100100048,272,51,112000173,13256,연가교,126.92215,37.572816,면목동,112000147
100100048,272,52,112000177,13260,서대문종합사회복지관,126.9200245273,37.5712597156,면목동,112000147
100100048,272,53,112000007,13007,사천교,126.918153,37.567558,면목동,112000147
100100048,272,54,112000008,13008,연희104고지앞.궁동근린공원,126.9250825384,37.56628429,면목동,112000147
100100048,272,55,112000010,13010,서대문우체국,126.931992,37.561955,면목동,112000147
100100048,272,56,112000012,13012,연세대앞,126.935341,37.559959,면목동,112000147
100100048,272,57,112000014,13014,세브란스병원앞,126.9384506818,37.5599674551,면목동,112000147
100100048,272,58,112000016,13016,이대후문,126.9433012302,37.5626001751,면목동,112000147
100100048,272,59,112000037,13120,이대부고,126.946423,37.565531,면목동,112000147
100100048,272,60,100000033,01128,사직단.사직근린공원,126.968188961,37.5748553458,면목동,112000147
100100048,272,61,100000032,01127,서울경찰청.경복궁역7번출구,126.9714842989,37.5757446636,면목동,112000147
100100048,272,62,100000022,01117,경복궁,126.9787471496,37.5755767894,면목동,112000147
100100048,272,63,100000104,01200,안국역6번출구.인사동문화의거리,126.9841344381,37.575798979,면목동,112000147
100100048,272,64,100000103,01199,창덕궁.우리소리박물관,126.988954,37.577272,면목동,112000147
100100048,272,65,100000128,01224,창경궁.서울대학교병원,126.9968717143,37.5788279947,면목동,112000147
100100048,272,66,100000131,01227,명륜동2가.성균관대입구,126.9993412723,37.5834170764,면목동,112000147
100100048,272,67,107000010,08010,삼선교.한성대학교.조소앙활동터,127.0082049442,37.5893632989,면목동,112000147
100100048,272,68,107000222,08318,돈암초교입구,127.012142,37.591078,면목동,112000147
100100048,272,69,107000085,08175,삼선동주민센터,127.0143473137,37.5906107149,면목동,112000147
100100048,272,70,107000087,08177,성북구청.성북경찰서,127.017432,37.588152,면목동,112000147
100100048,272,71,107000089,08179,보문역2번출구,127.0189209428,37.5858514183,면목동,112000147
100100048,272,72,107000091,08181,보문동성당,127.0207962235,37.5823963244,면목동,112000147
100100048,272,73,107000093,08183,보문동주민센터,127.0218634882,37.5804514958,면목동,112000147
100100048,272,74,105000486,06027,신설동역,127.0250446359,37.5761500409,면목동,112000147
100100048,272,75,105000484,06025,용두동사거리,127.0299882252,37.5775320632,면목동,112000147
100100048,272,76,105000482,06023,제기동역.서울약령시,127.037779,37.578144,면목동,112000147
100100048,272,77,105000488,06426,청량리수산시장,127.0418950942,37.5789521614,면목동,112000147
100100048,272,78,105000446,06019,청량리역환승센터,127.045721,37.580304,면목동,112000147
100100048,272,79,105000030,06114,서울성심병원,127.0508977332,37.5846074691,면목동,112000147
100100048,272,80,105000033,06117,휘경동입구,127.055203,37.587663,면목동,112000147
100100048,272,81,105000012,06012,삼육서울병원.삼육보건대학교,127.0619514091,37.589992454,면목동,112000147
100100048,272,82,105000010,06010,중랑교,127.066835,37.591426,면목동,112000147
100100048,272,83,106000006,07006,중랑역.동부시장,127.074938,37.593613,면목동,112000147
100100048,272,84,106000034,07128,한샘교회,127.082492,37.59542,면목동,112000147
100100048,272,85,106000073,07167,상봉역4번출구,127.0859396558,37.5941972708,면목동,112000147
100100048,272,86,106000075,07169,면목초등학교,127.0866780454,37.5913024354,면목동,112000147
100100048,272,87,106000076,07170,지하철7호선면목역,127.0872405771,37.5891321995,면목동,112000147
100100048,272,88,106000079,07173,면목본동주민센터.면목정보도서관,127.0880980871,37.5865148002,면목동,112000147
100100048,272,89,106000081,07175,면동초등학교,127.0883599559,37.5848547979,면목동,112000147
100100048,272,90,106000083,07177,면목우체국.녹색병원,127.088455,37.582733,면목동,112000147
100100048,272,91,106000085,07179,사가정역2번출구,127.0884337896,37.5812242521,면목동,112000147
100100048,272,92,106000086,07180,제2방정환교육지원센터.면목시장,127.0876506935,37.5796470274,면목동,112000147
100100048,272,93,106000088,07182,면목7동주민센터.면남초등학교,127.085932,37.5783,면목동,112000147
100100048,272,94,106000090,07184,방약국앞,127.08574,37.575997,면목동,112000147
100100018,130,1,108000194,09289,우이동차고지기점,127.011738,37.663032,길동,124000129
100100018,130,2,108000384,10342,한국사회봉사회,127.0147587067,37.6618138354,길동,124000129
100100018,130,3,109000099,10184,연산군.정의공주묘,127.023323,37.661732,길동,124000129
100100018,130,4,109000101,10186,방학동신동아타워,127.028111025,37.6616802914,길동,124000129
100100018,130,5,109000104,10189,방학동신동아아파트,127.0313834612,37.6619831294,길동,124000129
100100018,130,6,109000106,10191,방학초등학교,127.0342414798,37.6623619933,길동,124000129
100100018,130,7,109000108,10193,신한은행방학동지점,127.037002395,37.6626546059,길동,124000129
100100018,130,8,109000110,10195,방학사거리,127.040618,37.66272,길동,124000129
100100018,130,9,109000216,10304,방학교,127.04192,37.661947,길동,124000129
100100018,130,10,109000011,10011,도봉보건소,127.0407623758,37.6589364195,길동,124000129
100100018,130,11,109000013,10013,도봉구민회관.도봉문화원,127.0381736668,37.6545598452,길동,124000129
100100018,130,12,109000015,10015,쌍문역,127.0347686574,37.6488174173,길동,124000129
100100018,130,13,109000017,10017,우이교.한일병원입구,127.0326524367,37.6452929962,길동,124000129
100100018,130,14,108000001,09001,수유3동우체국,127.029165,37.641345,길동,124000129
100100018,130,15,108000378,09013,수유역.강북구청,127.0258703828,37.6382895216,길동,124000129
100100018,130,16,108000003,09003,수유역.수유사거리,127.024004631,37.6365085542,길동,124000129
100100018,130,17,108000005,09005,수유시장.성신여대미아캠퍼스앞,127.0241719892,37.6312262117,길동,124000129
100100018,130,18,108000007,09007,미아역.신일중고,127.0266493048,37.6248696784,길동,124000129
100100018,130,19,108000009,09009,도봉세무서.성암국제무역고,127.028719403,37.6197140913,길동,124000129
100100018,130,20,108000011,09011,미아사거리역,127.0299325391,37.6137621245,길동,124000129
100100018,130,21,107000058,08148,성가복지병원,127.0311378827,37.6058827177,길동,124000129
100100018,130,22,107000060,08150,종암경찰서,127.0330443723,37.6014326326,길동,124000129
100100018,130,23,107000062,08152,종암동주민센터,127.0341075456,37.5994152643,길동,124000129
100100018,130,24,107000064,08154,숭례초교,127.0356811781,37.5948052663,길동,124000129
100100018,130,25,105000088,06174,고려대역.고대앞삼거리,127.036872,37.588548,길동,124000129
100100018,130,26,105000085,06171,홍파초등학교.정화여중고,127.0383377075,37.5855971074,길동,124000129
100100018,130,27,105000083,06169,경동시장,127.038283869,37.5799644113,길동,124000129
100100018,130,28,105000555,06776,경동시장사거리,127.038109149,37.5772293536,길동,124000129
100100018,130,29,105000017,06017,동대문구청,127.0399889148,37.5734588708,길동,124000129
100100018,130,30,105000004,06004,신답초등학교.청계한신휴플러스,127.044292,37.571753,길동,124000129
100100018,130,31,103000001,04001,답십리역사거리,127.0543961703,37.5654496127,길동,124000129
100100018,130,32,103000002,04002,청년회의소.서울새활용플라자,127.060482,37.562035,길동,124000129
100100018,130,33,103000003,04003,장한평역,127.066093,37.561188,길동,124000129
100100018,130,34,104000002,05002,군자교입구,127.0749002776,37.5587937258,길동,124000129
100100018,130,35,104000004,05004,군자역.용마초등학교,127.081557,37.556267,길동,124000129
100100018,130,36,104000299,05008,중곡동입구삼거리,127.085229,37.554926,길동,124000129
100100018,130,37,104000007,05007,어린이대공원후문.아차산역,127.0892141692,37.5527548961,길동,124000129
100100018,130,38,104000295,05010,새밭교회,127.0926378294,37.5490935801,길동,124000129
100100018,130,39,104000297,05012,광나루역,127.103764,37.545156,길동,124000129
100100018,130,40,124000454,25014,천호역,127.125539,37.537949,길동,124000129
100100018,130,41,124000366,25012,강동역,127.131516,37.536106,길동,124000129
100100018,130,42,124000115,25224,강동성심병원(동신중학교),127.1355,37.537458,길동,124000129
100100018,130,43,124000114,25223,천동초등학교.천호도서관,127.136948,37.540437,길동,124000129
100100018,130,44,124000112,25221,참잘함한방병원,127.140043,37.54093,길동,124000129
100100018,130,45,124000129,25240,길동역1번출구,127.1399400757,37.5379724338,길동,124000129
100100018,130,46,124000131,25242,서울프라임한방병원,127.1389352122,37.5355253414,우이동,124000129
100100018,130,47,124000023,25123,길동사거리.강동세무서,127.1375233178,37.5344456779,우이동,124000129
100100018,130,48,124000025,25125,강동역1번출구.동신중학교,127.131857,37.536283,우이동,124000129
100100018,130,49,124000027,25127,천호역5번출구,127.127021248,37.5377884776,우이동,124000129
100100018,130,50,124000452,25374,천호역1번출구.문구거리,127.122232,37.539294,우이동,124000129
100100018,130,51,104000298,05011,광나루역,127.102649,37.545741,우이동,124000129
100100018,130,52,104000296,05009,새밭교회,127.093185,37.548983,우이동,124000129
100100018,130,53,104000006,05006,어린이대공원후문.아차산역,127.0901491873,37.5512084718,우이동,124000129
100100018,130,54,104000005,05005,중곡동입구삼거리,127.086550509,37.5544965543,우이동,124000129
100100018,130,55,104000003,05003,군자역.용마초등학교,127.082473132,37.5560989145,우이동,124000129
100100018,130,56,104000001,05001,군자교입구,127.0756461481,37.5587409868,우이동,124000129
100100018,130,57,105000003,06003,장한평역,127.0672869559,37.5611510646,우이동,124000129
100100018,130,58,105000002,06002,청년회의소,127.0612838214,37.5619653169,우이동,124000129
100100018,130,59,105000001,06001,답십리역사거리,127.0550604632,37.5651870868,우이동,124000129
100100018,130,60,105000005,06005,신답초등학교.청계한신휴플러스,127.0447281029,37.5717559096,우이동,124000129
100100018,130,61,105000079,06165,동대문구청.용두동주민센터,127.0384168651,37.5765807726,우이동,124000129
100100018,130,62,105000081,06167,경동시장앞,127.0387559286,37.5819989191,우이동,124000129
100100018,130,63,105000084,06170,홍파초등학교.정화여중고,127.038639,37.585531,우이동,124000129
100100018,130,64,105000086,06172,제기동한신아파트앞,127.037888,37.587603,우이동,124000129
100100018,130,65,105000087,06173,고려대역.고대앞삼거리,127.0366856036,37.5894337656,우이동,124000129
100100018,130,66,107000065,08155,숭례초등학교,127.036170198,37.5943969245,우이동,124000129
100100018,130,67,107000063,08153,종암동주민센터,127.034953,37.598373,우이동,124000129
100100018,130,68,107000061,08151,종암경찰서,127.0336839773,37.6011063729,우이동,124000129
100100018,130,69,107000059,08149,성가복지병원,127.03153,37.605922,우이동,124000129
100100018,130,70,108000012,09012,미아사거리역,127.0302131064,37.6128943078,우이동,124000129
100100018,130,71,108000010,09010,도봉세무서.성암국제무역고,127.0292480892,37.6188372063,우이동,124000129
100100018,130,72,108000008,09008,미아역.신일중고,127.0270667409,37.6243092426,우이동,124000129
