route_id,service_id,trip_id,direction_id
100100049,SER_20260912,100100049_106061178_138_d1,1
100100049,SER_20260912,100100049_106061224_166_d0,0
100100049,SER_20260912,100100049_106061224_166_d1,1
100100049,SER_20260912,100100049_106061294_169_d0,0
100100049,SER_20260912,100100049_106061294_169_d1,1
100100049,SER_20260912,100100049_106061294_239_d0,0
100100049,SER_20260912,100100049_106061294_239_d1,1
100100049,SER_20260912,100100049_106061325_122_d0,0
100100049,SER_20260912,100100049_106061325_122_d1,1
100100049,SER_20260912,100100049_106061327_128_d0,0
100100049,SER_20260912,100100049_106061327_128_d1,1
100100049,SER_20260912,100100049_106061332_125_d0,0
100100049,SER_20260912,100100049_106061332_125_d1,1
100100049,SER_20260912,100100049_106061335_170_d0,0
100100049,SER_20260912,100100049_106061335_170_d1,1
100100049,SER_20260912,100100049_106061335_236_d0,0
100100049,SER_20260912,100100049_106061335_236_d1,1
100100049,SER_20260912,100100049_106061340_136_d0,0
100100049,SER_20260912,100100049_106061340_136_d1,1
100100049,SER_20260912,100100049_106061341_126_d0,0
100100049,SER_20260912,100100049_106061341_126_d1,1
100100049,SER_20260912,100100049_106061342_129_d0,0
100100049,SER_20260912,100100049_106061342_129_d1,1
100100049,SER_20260912,100100049_106061344_130_d0,0
100100049,SER_20260912,100100049_106061344_130_d1,1
100100049,SER_20260912,100100049_106061349_117_d0,0
100100049,SER_20260912,100100049_106061349_117_d1,1
100100049,SER_20260912,100100049_106061370_167_d0,0
100100049,SER_20260912,100100049_106061370_167_d1,1
100100049,SER_20260912,100100049_106061370_259_d0,0
100100049,SER_20260912,100100049_106061374_168_d0,0
100100049,SER_20260912,100100049_106061374_168_d1,1
100100049,SER_20260912,100100049_106061374_254_d0,0
100100049,SER_20260912,100100049_106061375_177_d0,0
100100049,SER_20260912,100100049_106061375_177_d1,1
100100049,SER_20260912,100100049_106061404_139_d1,1
100100049,SER_20260912,100100049_106061404_180_d0,0
100100049,SER_20260912,100100049_106061404_180_d1,1
100100049,SER_20260912,100100049_106061430_124_d0,0
100100049,SER_20260912,100100049_106061430_124_d1,1
100100049,SER_20260912,100100049_106061432_134_d0,0
100100049,SER_20260912,100100049_106061432_134_d1,1
100100049,SER_20260912,100100049_106061435_133_d0,0
100100049,SER_20260912,100100049_106061435_133_d1,1
100100049,SER_20260912,100100049_106061453_131_d0,0
100100049,SER_20260912,100100049_106061453_131_d1,1
100100049,SER_20260912,100100049_106061468_115_d0,0
100100049,SER_20260912,100100049_106061468_115_d1,1
100100049,SER_20260912,100100049_106061478_119_d0,0
100100049,SER_20260912,100100049_106061478_119_d1,1
100100049,SER_20260912,100100049_106061495_121_d0,0
100100049,SER_20260912,100100049_106061495_121_d1,1
